,id,keywords
10,497,"[{'id': 531, 'name': 'southern usa'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 2501, 'name': 'death row'}, {'id': 2881, 'name': 'jail guard'}, {'id': 5571, 'name': 'great depression'}, {'id': 6152, 'name': 'supernatural'}, {'id': 6259, 'name': 'psychopath'}, {'id': 9774, 'name': 'prison guard'}, {'id': 9890, 'name': 'jail'}, {'id': 11263, 'name': 'electric chair'}, {'id': 13006, 'name': 'torture'}, {'id': 156597, 'name': 'magic realism'}, {'id': 167696, 'name': 'healing'}, {'id': 214548, 'name': '1930s'}, {'id': 239910, 'name': 'abuse of power'}]"
11,680,"[{'id': 2231, 'name': 'drug dealer'}, {'id': 2792, 'name': 'boxer'}, {'id': 4076, 'name': 'massage'}, {'id': 8627, 'name': 'stolen money'}, {'id': 9730, 'name': 'crime boss'}, {'id': 10104, 'name': 'dance competition'}, {'id': 11435, 'name': 'briefcase'}, {'id': 11436, 'name': 'redemption'}, {'id': 11442, 'name': 'heirloom'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 14604, 'name': 'theft'}, {'id': 34117, 'name': 'cult film'}, {'id': 157171, 'name': 'nonlinear timeline'}, {'id': 171366, 'name': 'multiple storylines'}, {'id': 207268, 'name': 'neo-noir'}]"
12,13,"[{'id': 422, 'name': 'vietnam veteran'}, {'id': 447, 'name': 'post-traumatic stress disorder'}, {'id': 458, 'name': 'hippie'}, {'id': 478, 'name': 'china'}, {'id': 521, 'name': 'washington dc, usa'}, {'id': 641, 'name': 'single parent'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 828, 'name': 'waitress'}, {'id': 840, 'name': 'usa president'}, {'id': 895, 'name': 'optimism'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 1228, 'name': '1970s'}, {'id': 1646, 'name': 'autism'}, {'id': 1803, 'name': 'drug addiction'}, {'id': 2075, 'name': 'alabama'}, {'id': 2957, 'name': 'vietnam war'}, {'id': 4243, 'name': 'black panther party'}, {'id': 5709, 'name': 'bus stop'}, {'id': 6054, 'name': 'friendship'}, {'id': 10235, 'name': 'family relationships'}, {'id': 14768, 'name': 'single mother'}, {'id': 162365, 'name': 'military'}, {'id': 181557, 'name': 'anti war protest'}, {'id': 208992, 'name': '1960s'}, {'id': 231401, 'name': 'college american football'}, {'id': 240237, 'name': 'mother son relationship'}]"
13,122,"[{'id': 603, 'name': 'elves'}, {'id': 604, 'name': 'dwarf'}, {'id': 606, 'name': 'orcs'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 3301, 'name': 'suspicion'}, {'id': 3347, 'name': 'volcano'}, {'id': 3930, 'name': 'bravery'}, {'id': 6782, 'name': 'addiction'}, {'id': 9812, 'name': 'honor'}, {'id': 9920, 'name': 'royalty'}, {'id': 11173, 'name': 'troll'}, {'id': 14707, 'name': 'brutality'}, {'id': 162846, 'name': 'ghost'}, {'id': 177912, 'name': 'wizard'}, {'id': 207372, 'name': 'quest'}, {'id': 209220, 'name': 'live action and animation'}, {'id': 234213, 'name': 'sword and sorcery'}]"
14,429,"[{'id': 801, 'name': 'bounty hunter'}, {'id': 972, 'name': 'refugee'}, {'id': 1321, 'name': 'gold'}, {'id': 2095, 'name': 'anti hero'}, {'id': 2125, 'name': 'gallows'}, {'id': 2708, 'name': 'hitman'}, {'id': 6092, 'name': 'army'}, {'id': 9503, 'name': 'outlaw'}, {'id': 10950, 'name': 'shootout'}, {'id': 11426, 'name': 'moral ambiguity'}, {'id': 156212, 'name': 'spaghetti western'}, {'id': 320802, 'name': 'dollars trilogy'}]"
15,769,"[{'id': 242, 'name': 'new york city'}, {'id': 378, 'name': 'prison'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1196, 'name': 'florida'}, {'id': 1228, 'name': '1970s'}, {'id': 1583, 'name': 'mass murder'}, {'id': 1857, 'name': 'irish-american'}, {'id': 2149, 'name': 'drug trafficking'}, {'id': 3149, 'name': 'gangster'}, {'id': 5565, 'name': 'biography'}, {'id': 9672, 'name': 'based on true story'}, {'id': 9826, 'name': 'murder'}, {'id': 10291, 'name': 'organized crime'}, {'id': 10292, 'name': 'gore'}, {'id': 10391, 'name': 'mafia'}, {'id': 41523, 'name': 'brooklyn, new york city'}, {'id': 214983, 'name': 'crime epic'}, {'id': 214985, 'name': 'tampa, florida'}]"
16,569094,"[{'id': 2858, 'name': 'sacrifice'}, {'id': 5451, 'name': 'comic book'}, {'id': 9663, 'name': 'sequel'}, {'id': 9715, 'name': 'superhero'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9820, 'name': 'alternate dimension'}, {'id': 18095, 'name': 'alternate version'}, {'id': 33637, 'name': 'super power'}, {'id': 41523, 'name': 'brooklyn, new york city'}, {'id': 155030, 'name': 'superhero team'}, {'id': 158124, 'name': 'spider bite'}, {'id': 163074, 'name': 'super villain'}, {'id': 175102, 'name': 'cliffhanger'}, {'id': 213104, 'name': 'teen superhero'}, {'id': 245157, 'name': 'alternate universe'}, {'id': 272493, 'name': 'female superhero'}, {'id': 299365, 'name': 'interdimensional travel'}]"
17,11216,"[{'id': 629, 'name': 'sicily, italy'}, {'id': 886, 'name': 'movie business'}, {'id': 970, 'name': 'parent child relationship'}, {'id': 5091, 'name': 'kiss'}, {'id': 9856, 'name': 'flashback'}, {'id': 10683, 'name': 'coming of age'}, {'id': 156597, 'name': 'magic realism'}, {'id': 173719, 'name': 'haunted by the past'}, {'id': 179428, 'name': 'censorship'}, {'id': 246529, 'name': 'nuovo cinema paradiso'}]"
18,637,"[{'id': 131, 'name': 'italy'}, {'id': 483, 'name': 'riddle'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 817, 'name': 'bookshop'}, {'id': 1430, 'name': 'self sacrifice'}, {'id': 1583, 'name': 'mass murder'}, {'id': 1631, 'name': 'concentration camp'}, {'id': 1755, 'name': 'fascism'}, {'id': 1956, 'name': 'world war ii'}, {'id': 2038, 'name': ""love of one's life""}, {'id': 2428, 'name': 'deportation'}, {'id': 2433, 'name': 'jew persecution'}, {'id': 2652, 'name': 'nazi'}, {'id': 3061, 'name': 'national socialism'}, {'id': 3196, 'name': 'charade'}, {'id': 3197, 'name': 'riding a bicycle'}, {'id': 3206, 'name': 'story teller'}, {'id': 3207, 'name': 'concentration camp prisoner'}, {'id': 3737, 'name': 'dying and death'}]"
19,346,"[{'id': 233, 'name': 'japan'}, {'id': 779, 'name': 'martial arts'}, {'id': 1462, 'name': 'samurai'}, {'id': 1938, 'name': 'sword'}, {'id': 4402, 'name': 'peasant'}, {'id': 4631, 'name': 'looting'}, {'id': 5329, 'name': 'rice'}, {'id': 5330, 'name': 'fencing'}, {'id': 5331, 'name': 'village'}, {'id': 6917, 'name': 'epic'}, {'id': 11426, 'name': 'moral ambiguity'}, {'id': 14643, 'name': 'battle'}, {'id': 33344, 'name': 'bandit'}, {'id': 33558, 'name': 'practice'}, {'id': 186753, 'name': 'jidaigeki'}, {'id': 208244, 'name': '16th century'}]"
