,id,title,overview,poster_path,popularity,release_date,vote_average,original_language,vote_average,vote_count,release_date
18,346,Seven Samurai,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",/iAq0sq42vKTLneVGqHn1D4GzgrM.jpg,51.396,1954-04-26,8.5,ja,8.5,3184,1954-04-26
19,696374,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,16.601,2020-05-29,8.5,en,8.5,2356,2020-05-29
20,12477,Grave of the Fireflies,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,0.6,1988-04-16,8.5,ja,8.5,4796,1988-04-16
21,569094,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,1872.207,2023-05-31,8.4,en,8.4,3811,2023-05-31
22,772071,Cuando Sea Joven,"70-year-old Malena gets a second chance at life when she magically turns into her 22-year-old self. Now, posing as ""Maria"" to hide her true identity, she becomes the lead singer of her grandson's band and tries to recover her dream of singing, which she had to give up at some point.",/6gIJuFHh5Lj4dNaPG3TzIMl7L68.jpg,15.399,2022-09-14,8.4,es,8.4,255,2022-09-14
23,667257,Impossible Things,"Matilde is a woman who, after the death of her husband - a man who constantly abused her - finds her new best friend in Miguel, her young, insecure, disoriented and even dealer neighbor",/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,13.609,2021-06-17,8.4,es,8.4,352,2021-06-17
24,539,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,47.784,1960-06-22,8.4,en,8.4,9174,1960-06-22
25,550,Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,72.193,1999-10-15,8.4,en,8.4,27034,1999-10-15
26,620249,The Legend of Hei,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg,15.341,2019-08-27,8.4,zh,8.4,299,2019-08-27
27,311,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,50.775,1984-05-23,8.4,en,8.4,4807,1984-05-23
