,genres,id
56,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",274
57,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",128
58,"[{'id': 18, 'name': 'Drama'}]",3782
59,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",652837
60,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",533514
61,"[{'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",914
62,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",930094
63,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",644479
64,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",101
65,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",15804
66,"[{'id': 18, 'name': 'Drama'}]",207
67,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]",105
68,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",851644
69,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",901
70,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",25237
71,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",630566
72,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",447362
73,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",16672
74,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",795607
75,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 36, 'name': 'History'}]",29259
76,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",335
77,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",283566
78,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",3082
79,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",20334
80,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",527641
81,"[{'id': 10402, 'name': 'Music'}]",568300
82,"[{'id': 16, 'name': 'Animation'}, {'id': 53, 'name': 'Thriller'}]",10494
83,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",28
84,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",77338
85,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",975
86,"[{'id': 18, 'name': 'Drama'}]",637920
87,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 28, 'name': 'Action'}]",670
88,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",897429
89,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",10376
90,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",872585
91,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]",315162
92,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",361743
93,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",632632
94,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",299534
95,"[{'id': 18, 'name': 'Drama'}]",1000492
96,"[{'id': 18, 'name': 'Drama'}]",265177
